,username,tweet_id,tweet_date,tweet_content,tweet_retweet_count,tweet_quote_count,tweet_reply_count,tweet_like_count
6610,JoeBiden,1180654515302883329,10/06/2019,"While the House does its job on impeachment, I’m going to stay focused on what matters: improving the lives of Americans and fighting to ensure that the United States is once again the leader of the free world.",388,14,117,2416
6611,JoeBiden,1180654090600226817,10/06/2019,"It’s the same cynical playbook he returns to again and again. But this time it won’t work, because the American people know me—and they know him. I will put the integrity of my whole career in public service to this nation up against Trump’s lack of integrity any day of the week.",283,11,89,1228
6612,JoeBiden,1180653952347574273,10/06/2019,"Our first president, George Washington, famously could not tell a lie. Trump seemingly cannot tell the truth — about anything. He slanders anyone he sees as a threat. It's why is he is frantically pushing flat-out lies, debunked conspiracy theories and smears against me.",344,12,97,1315
6613,JoeBiden,1180653812081659906,10/06/2019,He does not understand the immense responsibility demanded of all those who hold the office of the president of the United States. He sees only the power – and how it can benefit just one person: Donald Trump.,285,9,81,1113
6614,JoeBiden,1180653646142476288,10/06/2019,"Every day, more evidence is uncovered revealing that Trump is abusing the power of the presidency and is wholly unfit to be president. He is using the highest office in the land to advance his personal, political interests instead of the national interest.
https://t.co/NNpDITpwBV",2811,194,1176,12398
6615,JoeBiden,1180629993774338052,10/05/2019,"Obamacare was, and is, a big deal. It covered 20 million additional Americans, protects over 100 million with pre-existing conditions, and has saved lives.

We can’t afford to tear it down and start over. As president, I will protect and build on it. https://t.co/Wm7cm9sMEi",1589,94,692,6209
6616,JoeBiden,1180612126131527680,10/05/2019,"President Trump is spending millions of dollars attacking me because he's scared I'll beat him.

But I’m not going anywhere. I won’t let Donald Trump choose the Democratic nominee. https://t.co/k2YNjnlfEU",7519,1812,9992,43000
6617,JoeBiden,1180588471091695616,10/05/2019,Donald Trump is the most corrupt president in modern history. https://t.co/EjfAKdivy7,5895,497,2158,32809
6618,JoeBiden,1180570854251548672,10/05/2019,"If there are any angels in heaven, they are all male and female nurses. https://t.co/ImQGL8r04B",1153,1155,1707,7584
6619,JoeBiden,1180519264257753088,10/05/2019,Donald Trump is the definition of corruption.,21078,4006,17018,144261
6620,JoeBiden,1180506681459040256,10/05/2019,"Roe v. Wade is the law of the land, and we must fight any and all attempts to overturn it. As president, I will codify Roe into law and ensure this choice remains between a woman and her doctor. https://t.co/kaJbYWcYhL",1070,99,417,5878
6621,JoeBiden,1180273897301655552,10/05/2019,"Health care is personal to me like it is for so many Americans. I promise you, as president, I will protect your family's health care as I would my own. https://t.co/BTS5MW1J7J",914,96,734,4733
