,id,timestamp,tweet,replies,retweets,quotes,likes
168,214842989820915712,06/18/2012,"VP: “For so many Americans, including myself, the debt we all owe to our firefighters and police officers is personal.” ",16,71,4,15
169,214865564877856768,06/18/2012,Mitt Romney traveled through the Buckeye State this weekend—see what some Ohioans had to say about his visit: ,17,56,0,9
170,215126061506244608,06/19/2012,"“Every single day in my classroom, I see the power of education to break down barriers &amp; instill confidence.”—Dr. Biden ",4,47,0,8
171,215227829007298560,06/19/2012,"VP Biden to @AFSCME members today: “You provide the ability of people to live a decent, middle-class life. We owe you.”",4,46,0,7
172,215231779018256386,06/19/2012,"“The President says we can't build this economy from the top down, but from the middle out—that's what this is about.”—VP Biden",13,84,0,14
173,215237430247301120,06/20/2012,"VP Biden: “To me, being middle class is not a number; it's a way of life, it's a value set. It's about a minimum standard of living.”",25,106,0,18
174,215629858951282691,06/21/2012,VP Biden surprised a recent college grad with a phone call yesterday: ,7,23,0,9
175,215821902621581313,06/21/2012,"""At the end of the day, it's about sitting down with your kid and being able to say, 'it's going to be okay.'""—VP Biden at #NABJ2012",7,37,0,15
176,215857093339643905,06/21/2012,"RT @TruthTeam2012: If you agree with @JoeBiden on what being in the middle class means, RT this: ",6,73,1,12
177,215893942275809282,06/21/2012,"RT @VP: Check out our new PSA on dating violence, featuring the President, VP, &amp; sports leaders because #1is2many -- ",6,39,0,9
178,216200585605685250,06/22/2012,The VP on the importance of a good education—RT if you agree: ,10,100,2,15
179,216224656519213056,06/22/2012,RT @DemConvention: VPOTUS @JoeBiden: “Let me know you’ll be a part of our convention.” #DNC2012 ,6,12,0,7
180,216289865938120706,06/22/2012,President Obama’s student loan reform freed up more than $60 billion to make college more affordable and reduce the deficit. #progress,17,122,2,17
181,216652356983586817,06/23/2012,President Obama’s creating jobs right here in the U.S.; Romney would ship them overseas: ,21,70,0,13
182,216921923215556609,06/24/2012,A favorite Joe photo: ,18,54,3,56
183,216969658203521026,06/24/2012,Be sure to follow the “Joe Biden on the road” Pinterest board for updates from the campaign trail:  #Obama2012,8,36,0,7
184,217359590122201088,06/25/2012,The VP kicks off the Strengthening the Middle Class bus tour in Iowa tomorrow—be sure to follow @OFA_IA for the latest.,5,28,0,6
185,217362956046970882,06/25/2012,"RT @OFA_IA: Whaddya mean you haven't RSVP'd to see @JoeBiden in Waterloo tomorrow? Better hurry, today's the last day: ",6,10,0,3
186,217391206651543554,06/25/2012,"FACT: Under President Obama, Iowa’s economy has experienced record farm incomes and exports.",6,77,0,7
187,217665074838519808,06/26/2012,"“Give Mitt Romney credit: He is a job creator. In Singapore. And China. And India.”—VP Biden in Waterloo, Iowa today",30,291,0,50
188,217683981360046081,06/26/2012,"FACT: Iowa has created nearly 20,000 additional manufacturing jobs and a growing renewable energy sector under President Obama.",19,78,0,12
189,217731673536737281,06/26/2012,"VP: “Over the last two years, [John] Deere has added 850 jobs—almost all of them good, union manufacturing jobs.” #BidenInIA",10,41,0,12
190,217741086406344704,06/26/2012,“Don’t listen to any economist who tries to define the middle class for you as a number … The middle class is a way of life.”—VP Biden,14,88,0,18
191,217770746741657600,06/27/2012,“We'll never be able to outsource our way to greatness. The greatness of this nation is the grit and determination of all of you.”—VP Biden,11,78,0,16
192,217786649252331520,06/27/2012,"All smiles in Manchester, Iowa: ",6,29,0,17
193,218029226446688256,06/27/2012,RT @OFA_IA: Backdrop of the Mighty Mississippi to kickoff Day 2 of #BidenIA. ,1,4,0,6
194,218148119131586560,06/28/2012,Great to be back in Iowa this week—thanks to old friends and new ones for the warm welcome. –Joe,10,31,0,10
195,218430132824702977,06/28/2012,"President Obama: ""Today’s decision was a victory for people all across this country whose lives will be more secure.""",17,90,0,14
196,218446798044409856,06/28/2012,RT @VP: Today’s decision is a really big – important – deal. Find out what it means for you:   –VP,10,54,0,15
197,218464918167498752,06/28/2012,RT @BarackObama: See how President Obama’s health care law helps you and your family:   #ACA,22,90,0,18
198,218483000067891200,06/28/2012,"From taking care of their kids to accessing preventive care, watch Americans talk about what the #ACA means to them: ",13,55,0,12
199,218795300825997312,06/29/2012,Help prove that a grassroots movement can still win an election—pitch in $5 now: ,16,28,0,9
200,218837711476363264,06/29/2012,A moment in the Oval Office: ,4,14,0,8
201,218867041917087744,06/30/2012,On the road in Iowa: ,14,33,0,21
202,219215838589358080,06/30/2012,RT if you agree the U.S. doesn’t need an outsourcer-in-chief: ,28,395,0,32
203,219230911001141249,07/01/2012,Every little bit helps: Pitch in $5 to #Obama2012 before tonight’s big fundraising deadline. ,12,41,0,9
204,219809176652742658,07/02/2012,VP Biden was on the road talking to Iowans last week—check out his speech in Dubuque: ,7,20,0,10
205,219957182551175169,07/03/2012,The VP dropped in on the Sisters of Mount St. Francis in Dubuque last week to catch up and share cookies and ice cream: ,12,54,0,20
206,220221589923434498,07/03/2012,"“Ladies and gentlemen, my name's Joe Biden and I'm in love with a teacher.”—VP Biden speaking at the NEA convention today",9,83,0,28
